"type";"class";"is_tunnel";"is_bridge";"is_oneway";"is_link";"layer";"geometry"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910092.15812031,5213077.53455226],[-7910061.02160133,5213124.54915823]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910116.05402234,5212958.16849589],[-7910096.66484451,5213010.67422573]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910048.16390785,5213170.44038572],[-7910039.41171882,5213192.72327653],[-7910024.17469889,5213234.67585294]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910007.79000386,5213230.18137603],[-7910021.33816855,5213187.35770313],[-7910038.80522384,5213142.8803729],[-7910057.96113438,5213087.59646628],[-7910070.71619025,5213051.89376322],[-7910078.82456154,5213032.86836788],[-7910096.83279697,5212996.8250064],[-7910116.05402234,5212958.16849589],[-7910140.22984514,5212908.30157795]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910177.72056532,5212998.33996104],[-7910128.45451192,5213041.33952459]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910159.43240913,5212988.50538484],[-7910112.50835941,5213028.58860604]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910148.45951542,5212906.26903319],[-7910126.13116963,5212951.72996767],[-7910096.66484451,5213010.67422573],[-7910075.29755999,5213053.76221818],[-7910057.96113438,5213087.59646628],[-7910044.35698554,5213116.41879614],[-7910024.44528896,5213154.96232925],[-7909999.50434943,5213205.32291732],[-7909974.45144159,5213254.25715219],[-7909945.181061,5213310.09753361],[-7909914.72568254,5213368.00876313],[-7909893.52635047,5213419.07749467],[-7909783.35887083,5213720.04141418]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910067.41312531,5213111.23001281],[-7910061.02160133,5213124.54915823],[-7910046.26977739,5213155.20220106],[-7910032.18043257,5213181.67651108],[-7910007.79000386,5213230.18137603]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910169.60286334,5212996.72400943],[-7910119.75830704,5213040.74616463]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910096.66484451,5213010.67422573],[-7910089.0416692,5213032.62849917],[-7910080.39211778,5213059.62007934],[-7910068.98068155,5213090.32341095],[-7910061.78671807,5213106.39472578],[-7910046.26977739,5213155.20220106]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7909973.48104963,5213274.07836677],[-7909999.79360088,5213232.04986617],[-7910011.3263361,5213214.99359487],[-7910032.18043257,5213181.67651108]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910069.36323992,5213122.74381325],[-7910056.30027121,5213149.21803251],[-7910048.16390785,5213170.44038572],[-7910034.78369562,5213223.79316253],[-7909994.75502723,5213405.34130444]]}"
